Churn,senior_65,partner,dependents,tenure_months,contract_type,monthly_charge,daily_charge,total_charge,internet_service,online_security,tech_support,streaming_tv,payment_method
0,0,0,0,3,Month-to-month,19.95,0.66,58.0,No,0,0,0,Mailed check
0,0,1,1,47,Month-to-month,87.2,2.91,4017.45,Fiber optic,0,0,1,Electronic check
0,0,1,1,62,Two year,108.15,3.6,6825.65,Fiber optic,1,1,1,Mailed check
0,0,0,0,71,One year,116.3,3.88,8309.55,Fiber optic,1,1,1,Bank transfer (automatic)
0,1,1,0,7,Month-to-month,89.0,2.97,605.45,Fiber optic,0,0,1,Electronic check
0,0,1,1,27,Month-to-month,74.4,2.48,1972.35,Fiber optic,1,0,0,Mailed check
0,0,0,0,2,Month-to-month,20.05,0.67,33.7,No,0,0,0,Mailed check
0,0,0,1,25,Two year,35.05,1.17,844.45,DSL,1,1,0,Bank transfer (automatic)
0,1,0,0,30,Month-to-month,74.75,2.49,2111.3,DSL,1,0,1,Electronic check
1,1,1,0,58,One year,105.5,3.52,6205.5,Fiber optic,1,1,1,Credit card (automatic)
1,0,1,0,10,Month-to-month,85.25,2.84,855.3,Fiber optic,0,0,0,Electronic check
0,0,0,0,9,Month-to-month,75.2,2.51,633.85,Fiber optic,0,0,0,Credit card (automatic)
1,1,1,0,6,Month-to-month,84.35,2.81,474.9,Fiber optic,0,0,0,Electronic check
0,0,1,1,69,One year,84.45,2.82,5848.6,Fiber optic,1,0,0,Bank transfer (automatic)
0,1,0,0,66,Two year,102.4,3.41,6471.85,Fiber optic,1,0,1,Bank transfer (automatic)
1,0,0,0,70,One year,115.55,3.85,8127.6,Fiber optic,1,1,1,Credit card (automatic)
1,0,0,0,25,One year,25.3,0.84,676.35,No,0,0,0,Bank transfer (automatic)
0,0,1,1,46,Two year,19.25,0.64,864.2,No,0,0,0,Mailed check
0,0,1,0,54,One year,114.65,3.82,6049.5,Fiber optic,1,1,1,Mailed check
1,0,0,0,15,Month-to-month,105.1,3.5,1582.75,Fiber optic,1,1,1,Electronic check
0,0,1,1,12,Month-to-month,19.4,0.65,198.1,No,0,0,0,Bank transfer (automatic)
0,0,0,0,22,Month-to-month,50.35,1.68,1098.85,DSL,0,0,1,Electronic check
0,0,1,0,70,Two year,57.8,1.93,4039.3,DSL,0,1,1,Bank transfer (automatic)
0,0,0,0,30,Month-to-month,84.3,2.81,2438.6,Fiber optic,1,0,0,Credit card (automatic)
0,0,1,1,71,One year,100.55,3.35,7113.75,Fiber optic,0,0,1,Bank transfer (automatic)
0,0,1,0,30,One year,19.8,0.66,576.65,No,0,0,0,Credit card (automatic)
1,0,1,1,4,Month-to-month,84.8,2.83,371.9,Fiber optic,0,0,0,Bank transfer (automatic)
1,0,0,0,2,Month-to-month,85.85,2.86,167.3,Fiber optic,0,0,0,Electronic check
0,0,0,1,10,One year,19.95,0.66,219.5,No,0,0,0,Bank transfer (automatic)
0,1,0,0,4,Month-to-month,75.35,2.51,273.4,Fiber optic,1,0,0,Electronic check
0,1,0,0,52,Month-to-month,48.8,1.63,2555.05,DSL,1,0,1,Credit card (automatic)
1,0,0,0,5,Month-to-month,47.15,1.57,223.15,DSL,0,0,0,Electronic check
0,0,1,1,8,Two year,20.15,0.67,165.5,No,0,0,0,Mailed check
0,1,0,0,2,Month-to-month,44.3,1.48,89.3,DSL,0,0,0,Electronic check
0,0,0,0,3,Month-to-month,84.3,2.81,235.05,Fiber optic,0,0,0,Electronic check
0,0,0,0,19,Month-to-month,59.55,1.98,1144.6,DSL,0,1,0,Electronic check
0,0,0,0,72,Two year,69.65,2.32,4908.25,DSL,1,1,0,Bank transfer (automatic)
0,1,1,0,63,One year,36.1,1.2,2298.9,DSL,1,1,0,Bank transfer (automatic)
0,0,1,0,66,Two year,56.6,1.89,3789.2,DSL,1,1,1,Bank transfer (automatic)
1,0,0,0,1,Month-to-month,75.9,2.53,75.9,Fiber optic,0,1,0,Electronic check
0,0,0,0,60,One year,79.2,2.64,4765.0,Fiber optic,0,0,0,Bank transfer (automatic)
0,0,1,1,48,One year,45.0,1.5,2196.3,DSL,1,0,0,Credit card (automatic)
1,0,0,0,1,Month-to-month,85.55,2.85,85.55,Fiber optic,0,0,1,Credit card (automatic)
1,0,0,0,15,Month-to-month,93.35,3.11,1444.65,Fiber optic,0,0,1,Electronic check
0,0,1,0,50,Month-to-month,109.65,3.66,5405.8,Fiber optic,1,1,1,Bank transfer (automatic)
0,0,1,1,72,Two year,89.7,2.99,6339.3,DSL,1,1,1,Credit card (automatic)
0,0,0,0,46,Month-to-month,84.25,2.81,3847.6,Fiber optic,1,0,0,Mailed check
0,0,1,1,72,Two year,92.65,3.09,6733.0,DSL,1,1,1,Bank transfer (automatic)
0,0,1,1,1,Month-to-month,19.7,0.66,19.7,No,0,0,0,Mailed check
0,0,0,0,1,Month-to-month,50.1,1.67,50.1,DSL,0,0,0,Electronic check
0,1,0,0,67,Two year,92.45,3.08,6140.85,Fiber optic,1,1,1,Bank transfer (automatic)
0,0,1,1,48,Two year,79.65,2.66,3870.3,DSL,0,1,1,Electronic check
0,0,0,0,72,Two year,109.9,3.66,7624.2,Fiber optic,1,1,1,Electronic check
0,0,1,0,52,One year,81.4,2.71,4354.45,DSL,1,1,0,Credit card (automatic)
0,0,1,1,67,One year,50.55,1.68,3431.75,DSL,0,0,0,Credit card (automatic)
1,0,1,1,28,Month-to-month,81.05,2.7,2227.1,Fiber optic,0,0,0,Electronic check
0,0,1,1,32,Month-to-month,62.45,2.08,2045.55,DSL,0,0,0,Bank transfer (automatic)
1,1,1,0,27,Month-to-month,75.2,2.51,1929.35,Fiber optic,1,0,0,Bank transfer (automatic)
0,0,0,0,3,Month-to-month,90.4,3.01,268.45,Fiber optic,0,0,0,Electronic check
1,0,0,0,2,Month-to-month,85.65,2.86,181.5,Fiber optic,0,0,1,Electronic check
1,0,0,1,9,Month-to-month,72.9,2.43,651.4,DSL,0,1,1,Mailed check
0,0,1,1,50,Two year,70.5,2.35,3486.65,DSL,1,1,1,Credit card (automatic)
0,0,1,1,71,Two year,20.1,0.67,1389.6,No,0,0,0,Bank transfer (automatic)
1,1,1,0,32,Month-to-month,74.9,2.5,2303.35,Fiber optic,0,0,0,Electronic check
0,0,1,1,16,Month-to-month,100.7,3.36,1522.7,Fiber optic,1,0,1,Bank transfer (automatic)
0,0,1,1,67,Two year,105.65,3.52,6717.9,Fiber optic,0,1,1,Bank transfer (automatic)
0,0,1,1,72,Two year,114.3,3.81,8058.55,Fiber optic,1,1,1,Credit card (automatic)
1,0,0,0,3,Month-to-month,19.75,0.66,58.85,No,0,0,0,Electronic check
0,0,1,1,23,One year,24.35,0.81,538.5,No,0,0,0,Mailed check
0,0,1,1,72,Two year,69.85,2.33,5102.35,DSL,1,1,0,Bank transfer (automatic)
0,0,1,1,7,Month-to-month,58.85,1.96,465.7,DSL,1,0,1,Mailed check
0,1,1,0,65,One year,103.15,3.44,6792.45,Fiber optic,0,0,1,Bank transfer (automatic)
0,0,1,1,8,Month-to-month,54.4,1.81,475.1,DSL,0,0,1,Electronic check
0,0,1,1,66,Two year,50.55,1.68,3364.55,DSL,0,1,1,Bank transfer (automatic)
1,0,0,0,5,Month-to-month,21.05,0.7,113.85,No,0,0,0,Mailed check
1,0,0,0,49,Month-to-month,103.7,3.46,5036.3,Fiber optic,0,0,1,Bank transfer (automatic)
0,0,1,0,63,Two year,19.95,0.66,1234.8,No,0,0,0,Bank transfer (automatic)
0,1,1,1,12,Month-to-month,29.3,0.98,355.9,DSL,0,1,0,Mailed check
0,0,1,1,27,Month-to-month,54.75,1.82,1510.3,DSL,1,0,0,Credit card (automatic)
0,0,0,0,35,Month-to-month,60.55,2.02,1982.6,DSL,1,0,0,Electronic check
0,0,1,1,54,Month-to-month,86.2,2.87,4524.05,DSL,0,1,1,Electronic check
1,0,0,0,1,Month-to-month,95.45,3.18,95.45,Fiber optic,0,0,1,Electronic check
0,0,0,0,5,Month-to-month,63.95,2.13,318.1,DSL,0,1,1,Credit card (automatic)
0,0,0,0,19,One year,65.35,2.18,1231.85,DSL,0,1,0,Bank transfer (automatic)
0,0,1,1,52,Two year,50.2,1.67,2554.0,DSL,0,1,1,Mailed check
0,0,1,1,72,Two year,63.8,2.13,4684.3,DSL,1,1,1,Bank transfer (automatic)
0,0,0,0,32,Two year,20.05,0.67,614.45,No,0,0,0,Bank transfer (automatic)
1,0,1,0,8,Month-to-month,101.15,3.37,842.9,Fiber optic,0,0,1,Electronic check
0,0,0,0,41,One year,65.0,2.17,2531.8,DSL,0,0,0,Mailed check
0,0,0,0,5,Month-to-month,19.25,0.64,86.05,No,0,0,0,Mailed check
0,0,0,1,11,One year,36.05,1.2,402.6,DSL,1,1,0,Mailed check
1,0,0,0,5,Month-to-month,96.1,3.2,453.4,Fiber optic,0,1,1,Electronic check
0,0,0,0,16,One year,19.05,0.64,326.65,No,0,0,0,Mailed check
0,1,0,0,71,One year,105.75,3.52,7382.85,Fiber optic,0,1,1,Bank transfer (automatic)
0,0,0,0,11,One year,40.4,1.35,422.6,DSL,0,1,0,Credit card (automatic)
1,0,1,1,61,Month-to-month,99.15,3.3,6010.05,Fiber optic,0,0,1,Electronic check
0,0,1,0,71,One year,84.8,2.83,6046.1,DSL,1,1,1,Bank transfer (automatic)
0,0,0,0,9,Month-to-month,19.85,0.66,178.8,No,0,0,0,Mailed check
0,0,0,0,6,Month-to-month,49.45,1.65,314.6,DSL,1,0,0,Electronic check
1,0,0,0,26,Month-to-month,88.8,2.96,2274.35,Fiber optic,0,0,1,Bank transfer (automatic)
0,0,0,0,6,Month-to-month,55.15,1.84,322.9,DSL,1,0,0,Mailed check
0,0,0,0,11,Month-to-month,84.8,2.83,888.75,Fiber optic,0,0,0,Electronic check
1,0,1,0,1,Month-to-month,80.55,2.68,80.55,Fiber optic,0,0,1,Electronic check
0,0,1,0,49,Two year,20.15,0.67,973.35,No,0,0,0,Bank transfer (automatic)
0,0,1,1,3,Month-to-month,58.7,1.96,168.6,DSL,0,0,1,Credit card (automatic)
0,0,0,0,53,Two year,99.5,3.32,5424.25,Fiber optic,1,1,0,Mailed check
1,0,1,1,23,Month-to-month,99.85,3.33,2331.3,Fiber optic,1,1,1,Electronic check
1,0,0,0,2,Month-to-month,45.35,1.51,89.5,DSL,0,0,0,Electronic check
1,0,0,0,1,Month-to-month,48.55,1.62,48.55,DSL,1,0,0,Mailed check
0,0,0,1,3,Two year,26.4,0.88,121.25,No,0,0,0,Mailed check
1,1,1,0,68,Month-to-month,100.2,3.34,6851.65,Fiber optic,0,0,1,Electronic check
1,0,0,0,8,Month-to-month,94.7,3.16,740.3,Fiber optic,0,0,1,Electronic check
0,0,1,0,70,One year,97.65,3.26,6982.5,Fiber optic,0,0,1,Electronic check
0,0,1,1,39,One year,100.0,3.33,3835.55,Fiber optic,0,0,1,Electronic check
1,0,0,0,1,Month-to-month,70.1,2.34,70.1,Fiber optic,0,0,0,Electronic check
0,0,1,1,51,Two year,34.2,1.14,1782.0,DSL,1,1,0,Bank transfer (automatic)
1,0,0,0,3,Month-to-month,97.9,3.26,315.3,Fiber optic,0,1,1,Electronic check
0,0,1,0,60,One year,102.5,3.42,6157.6,Fiber optic,0,0,1,Bank transfer (automatic)
1,0,1,0,5,Month-to-month,69.95,2.33,330.15,Fiber optic,0,0,0,Electronic check
1,1,0,0,3,Month-to-month,81.35,2.71,233.7,Fiber optic,0,0,0,Electronic check
0,0,1,0,55,One year,66.05,2.2,3462.1,DSL,1,1,0,Credit card (automatic)
0,0,0,0,72,Two year,61.2,2.04,4390.25,DSL,1,1,1,Credit card (automatic)
0,1,1,0,72,Two year,74.4,2.48,5360.75,DSL,1,1,1,Bank transfer (automatic)
1,0,0,0,41,Month-to-month,106.3,3.54,4443.45,Fiber optic,0,0,1,Electronic check
0,0,0,0,60,Two year,39.6,1.32,2424.5,DSL,1,0,0,Bank transfer (automatic)
1,0,0,0,6,Month-to-month,89.3,2.98,577.6,Fiber optic,0,0,1,Electronic check
0,0,1,0,46,Two year,108.9,3.63,4854.3,Fiber optic,0,1,1,Credit card (automatic)
0,0,0,0,15,Month-to-month,19.9,0.66,320.45,No,0,0,0,Mailed check
1,0,1,0,58,Month-to-month,102.1,3.4,5885.4,Fiber optic,0,1,1,Credit card (automatic)
0,0,1,1,23,Two year,19.6,0.65,426.65,No,0,0,0,Credit card (automatic)
1,1,1,1,31,Month-to-month,98.9,3.3,2911.3,Fiber optic,0,1,1,Electronic check
0,0,1,0,11,Month-to-month,45.9,1.53,521.9,DSL,0,0,0,Bank transfer (automatic)
0,1,0,0,56,Two year,99.9,3.33,5706.3,Fiber optic,0,1,1,Bank transfer (automatic)
0,0,0,1,25,Month-to-month,20.05,0.67,471.7,No,0,0,0,Credit card (automatic)
0,0,0,0,68,Two year,64.35,2.14,4539.6,DSL,1,1,1,Credit card (automatic)
0,0,0,0,40,Two year,19.65,0.65,830.25,No,0,0,0,Credit card (automatic)
1,0,0,0,36,Month-to-month,84.9,2.83,3067.2,Fiber optic,0,0,0,Electronic check
1,0,0,0,32,Month-to-month,108.15,3.6,3432.9,Fiber optic,1,1,1,Credit card (automatic)
0,0,1,1,71,Two year,86.85,2.9,6263.8,DSL,1,1,1,Bank transfer (automatic)
0,0,1,0,17,Month-to-month,102.55,3.42,1742.5,Fiber optic,0,0,1,Electronic check
0,0,1,0,18,Month-to-month,78.2,2.61,1468.75,Fiber optic,0,1,0,Electronic check
0,0,0,0,37,Month-to-month,91.2,3.04,3382.3,Fiber optic,1,0,0,Bank transfer (automatic)
0,0,0,0,2,Month-to-month,19.35,0.64,46.35,No,0,0,0,Mailed check
0,0,1,1,28,One year,70.4,2.35,1992.2,Fiber optic,0,0,0,Bank transfer (automatic)
0,0,0,0,9,One year,39.55,1.32,373.0,DSL,1,0,0,Mailed check
0,0,0,0,1,Month-to-month,50.15,1.67,50.15,DSL,1,0,0,Electronic check
0,0,1,0,65,Two year,20.4,0.68,1414.45,No,0,0,0,Credit card (automatic)
0,0,0,0,3,Month-to-month,44.6,1.49,122.7,DSL,0,0,0,Electronic check
1,0,0,0,1,Month-to-month,34.7,1.16,34.7,DSL,0,0,1,Electronic check
0,0,1,0,36,Month-to-month,93.6,3.12,3366.05,Fiber optic,1,0,1,Electronic check
1,0,0,0,23,Month-to-month,90.6,3.02,1943.2,Fiber optic,0,1,1,Electronic check
0,0,1,1,22,Month-to-month,57.95,1.93,1271.8,DSL,1,1,0,Mailed check
0,0,1,0,72,Two year,112.1,3.74,7965.95,Fiber optic,1,1,1,Credit card (automatic)
1,0,1,1,17,Month-to-month,88.25,2.94,1460.65,Fiber optic,0,0,1,Electronic check
1,0,0,0,3,Month-to-month,85.8,2.86,272.2,Fiber optic,0,1,0,Electronic check
1,0,1,0,58,One year,60.3,2.01,3563.8,DSL,1,0,0,Credit card (automatic)
0,0,1,1,67,Two year,81.35,2.71,5398.6,DSL,1,0,1,Credit card (automatic)
0,1,0,0,34,One year,99.85,3.33,3343.15,Fiber optic,0,0,1,Electronic check
0,0,0,0,10,Month-to-month,20.0,0.67,198.7,No,0,0,0,Credit card (automatic)
0,0,0,0,69,Two year,85.35,2.84,5897.4,DSL,1,1,1,Credit card (automatic)
0,0,0,0,40,One year,62.05,2.07,2511.55,DSL,1,0,1,Credit card (automatic)
0,0,0,0,20,Month-to-month,64.4,2.15,1398.6,DSL,1,0,0,Credit card (automatic)
0,0,1,1,46,Two year,19.4,0.65,967.85,No,0,0,0,Mailed check
1,0,1,0,2,Month-to-month,74.4,2.48,139.4,Fiber optic,1,0,0,Electronic check
1,1,1,0,1,Month-to-month,70.45,2.35,70.45,Fiber optic,0,0,0,Mailed check
0,0,1,0,72,Two year,105.0,3.5,7589.8,Fiber optic,1,0,1,Credit card (automatic)
0,0,1,1,70,Two year,25.15,0.84,1790.15,No,0,0,0,Credit card (automatic)
0,0,0,0,2,Month-to-month,19.3,0.64,44.4,No,0,0,0,Mailed check
0,0,0,1,23,Month-to-month,55.3,1.84,1284.2,DSL,0,1,0,Bank transfer (automatic)
0,0,1,0,36,Month-to-month,95.4,3.18,3474.2,Fiber optic,0,0,1,Electronic check
1,1,1,0,59,Month-to-month,93.85,3.13,5574.75,Fiber optic,0,0,1,Bank transfer (automatic)
0,0,0,0,67,Two year,20.5,0.68,1430.95,No,0,0,0,Bank transfer (automatic)
0,0,1,1,72,Two year,105.55,3.52,7542.25,Fiber optic,1,0,1,Bank transfer (automatic)
1,0,0,0,37,Month-to-month,101.9,3.4,3545.35,Fiber optic,0,0,1,Bank transfer (automatic)
0,0,1,1,72,Two year,24.45,0.82,1709.1,No,0,0,0,Bank transfer (automatic)
0,0,1,0,72,Two year,19.7,0.66,1421.9,No,0,0,0,Credit card (automatic)
1,0,0,0,3,Month-to-month,74.4,2.48,229.55,Fiber optic,0,0,0,Electronic check
1,1,1,0,54,One year,101.5,3.38,5373.1,Fiber optic,0,0,1,Credit card (automatic)
1,0,1,0,60,Month-to-month,95.75,3.19,5742.9,Fiber optic,0,0,1,Electronic check
0,0,1,0,58,One year,110.65,3.69,6526.65,Fiber optic,1,0,1,Credit card (automatic)
0,0,1,0,31,Month-to-month,83.85,2.8,2674.15,Fiber optic,0,0,0,Bank transfer (automatic)
0,0,0,0,3,Month-to-month,60.25,2.01,170.5,DSL,0,0,1,Electronic check
0,0,0,0,55,Two year,59.2,1.97,3175.85,DSL,1,1,0,Electronic check
1,0,0,0,1,Month-to-month,44.4,1.48,44.4,DSL,0,0,0,Mailed check
0,0,1,0,49,Month-to-month,85.3,2.84,4297.95,Fiber optic,0,0,1,Credit card (automatic)
1,0,0,1,8,Month-to-month,25.5,0.85,215.2,DSL,0,0,0,Mailed check
0,1,0,0,39,Month-to-month,99.75,3.32,4036.0,Fiber optic,0,0,1,Electronic check
